99.6204	99.6143	99.606	99.594	99.575	99.5473	99.497	99.416	99.2874	99.0902	98.7999	98.4077	97.9365	97.2636	96.2935	94.9105	85.4752
99.6255	99.6193	99.6097	99.5974	99.5776	99.5517	99.5013	99.4213	99.2872	99.0895	98.7989	98.4176	97.9418	97.2791	96.3394	94.9934	85.8726
99.6314	99.6252	99.6153	99.6023	99.583	99.5558	99.5032	99.4243	99.2896	99.0909	98.8048	98.425	97.9524	97.314	96.3994	95.0841	86.2623
99.6382	99.6307	99.6224	99.6099	99.5894	99.559	99.5087	99.4282	99.297	99.0931	98.8054	98.4305	97.9689	97.3328	96.4595	95.1893	86.6588
99.6444	99.6381	99.6294	99.6153	99.5955	99.5642	99.5182	99.4386	99.3027	99.1033	98.8195	98.4496	97.9888	97.3726	96.5182	95.2635	87.0661
99.6498	99.6433	99.6339	99.619	99.5975	99.5683	99.5215	99.4434	99.3107	99.1129	98.828	98.4577	97.9981	97.4009	96.5407	95.3248	87.4531
99.6557	99.6488	99.6377	99.6232	99.6048	99.576	99.5278	99.4517	99.3244	99.1201	98.847	98.4833	98.0203	97.4335	96.6033	95.4059	87.8258
99.6623	99.6546	99.6452	99.6332	99.6132	99.586	99.5404	99.4636	99.3337	99.1304	98.8673	98.4976	98.0479	97.4664	96.6574	95.4785	88.1975
99.6695	99.6624	99.6534	99.6403	99.6248	99.5953	99.5505	99.4727	99.3448	99.1422	98.8746	98.5173	98.0816	97.4962	96.6965	95.5343	88.5674
99.6764	99.6695	99.6613	99.6498	99.6338	99.6058	99.5588	99.4852	99.3596	99.1498	98.8796	98.5322	98.097	97.5222	96.7492	95.5865	88.9287
99.6826	99.6759	99.6677	99.6561	99.6406	99.6128	99.5677	99.4886	99.3553	99.1542	98.892	98.5438	98.1163	97.5576	96.783	95.6224	89.2823
99.6884	99.6826	99.6749	99.6633	99.6482	99.62	99.572	99.4947	99.3615	99.1645	98.8961	98.5598	98.1392	97.5862	96.8104	95.7022	89.6174
99.6943	99.6889	99.6807	99.6698	99.6522	99.6245	99.5767	99.4979	99.3674	99.1711	98.9031	98.5748	98.1605	97.6088	96.8347	95.773	89.9617
